毛利1,Gross Profit 1,毛利1,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
净利1,Net Profit 1,净利1,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
销量预测,Est. Sales Volume,销量预测,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
销额预测,Est. Sales Amount,销额预测,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
SI币别,SI Currency,SI币别,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
SI价格,SI Price,SI价格,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
SI支持,SI Support,SI支持,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
SI数量,SI Quantity,SI数量,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
SI金额,SI Amount,SI金额,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
毛利2,Gross Profit 2,毛利2,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
净利2,Net Profit 2,净利2,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
子客户编码,Sub Customer Code,子客户编码,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
客户编码,Customer Code,客户编码,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
客户名称,Customer Name,客户名称,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
子客户名称,Sub Customer Name,子客户名称,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
渠道大类,Channel Type,渠道大类,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
nameCountry,Country Name,nameCountry,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
areaName,Area,areaName,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
saleCountry,Sales Country,Sale Country,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
productSku,SKU,Product Sku,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
productSeriesModel,Factory Model,Factory Serial Model,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
marketingName,Product Name,Product Marketing Name,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
list,List,List,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
subCustomerCode,Sub Customer Code,Sub Customer Code,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
countryId,Country ID,Country,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
startDate,Start Date,Date From,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
required,Require,Required,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
endDate,End Date,Date End,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
productName,Product Name,Product Name,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
operation,Operation,operation,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
view,View,view,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
subCustomerCountry,Sub Customer Country,sub-customer Country,src\page\service\oms\activity\pages\IBUActivityCalenderV2\IBUActivityCalenderV2.vue
