list,List,列表,D:\代码库\saafweb\src\page\base\cms\faqHelpList\BaseFaqHelp.vue
faqTitle,faqTitle,FAQ标题,D:\代码库\saafweb\src\page\base\cms\faqHelpList\BaseFaqHelp.vue
faqType,faqType,问题类别,D:\代码库\saafweb\src\page\base\cms\faqHelpList\BaseFaqHelp.vue
isTop,isTop,是否置顶,D:\代码库\saafweb\src\page\base\cms\faqHelpList\BaseFaqHelp.vue
isDisplay,isDisplay,是否显示,D:\代码库\saafweb\src\page\base\cms\faqHelpList\BaseFaqHelp.vue
faqOrder,faqOrder,分类显示排序,D:\代码库\saafweb\src\page\base\cms\faqHelpList\BaseFaqHelp.vue
faqContent,faqContent,FAQ内容,D:\代码库\saafweb\src\page\base\cms\faqHelpList\BaseFaqHelp.vue
startTime,startTime,生效时间,D:\代码库\saafweb\src\page\base\cms\faqHelpList\BaseFaqHelp.vue
endTime,endTime,失效时间,D:\代码库\saafweb\src\page\base\cms\faqHelpList\BaseFaqHelp.vue
删除成功,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\faqHelpList\BaseFaqHelp.vue
query,query,查询,D:\代码库\saafweb\src\page\base\collect\Collect.vue
Favorites,Favorites,收藏夹,D:\代码库\saafweb\src\page\base\collect\Collect.vue
functionName,function name,收藏夹名称,D:\代码库\saafweb\src\page\base\collect\Collect.vue
functionUrl,URL,URL,D:\代码库\saafweb\src\page\base\collect\Collect.vue
requestMethod,request method,请求方式,D:\代码库\saafweb\src\page\base\collect\Collect.vue
系统编码,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\collect\Collect.vue
list,Favorites management,收藏夹管理,D:\代码库\saafweb\src\page\base\collect\Collect.vue
system code,system code,系统编码,D:\代码库\saafweb\src\page\base\collect\Collect.vue
required,required,必填,D:\代码库\saafweb\src\page\base\collect\Collect.vue
deleteSuccess,Delete successful!,删除成功！,D:\代码库\saafweb\src\page\base\collect\Collect.vue
deleteFailed,Delete failed!,删除失败！,D:\代码库\saafweb\src\page\base\collect\Collect.vue
saveSuccess,Save successful!,保存成功！,D:\代码库\saafweb\src\page\base\collect\Collect.vue
saveFailed,Save failed!,保存失败！,D:\代码库\saafweb\src\page\base\collect\Collect.vue
Fail,Fail!,失败!,D:\代码库\saafweb\src\page\base\collect\Collect.vue
